Local Time,LMP
2023-02-01 00:00:00,61.25
2023-02-01 00:05:00,61.25
2023-02-01 00:10:00,65.25
2023-02-01 00:15:00,61.08
2023-02-01 00:20:00,51.67
2023-02-01 00:25:00,51.45
2023-02-01 00:30:00,51.45
2023-02-01 00:35:00,38.74
2023-02-01 00:40:00,38.74
2023-02-01 00:45:00,38.35
2023-02-01 00:50:00,38.07
2023-02-01 00:55:00,38.52
2023-02-01 01:00:00,51.37
2023-02-01 01:05:00,51.37
2023-02-01 01:10:00,37.69
2023-02-01 01:15:00,37.77
2023-02-01 01:20:00,37.51
2023-02-01 01:25:00,48.36
2023-02-01 01:30:00,55.09
2023-02-01 01:35:00,51.89
2023-02-01 01:40:00,51.89
2023-02-01 01:45:00,51.58
2023-02-01 01:50:00,51.38
2023-02-01 01:55:00,48.37
2023-02-01 02:00:00,51.97
2023-02-01 02:05:00,48.35
2023-02-01 02:10:00,51.37
2023-02-01 02:15:00,51.37
2023-02-01 02:20:00,48.36
2023-02-01 02:25:00,51.36
2023-02-01 02:30:00,52.72
2023-02-01 02:35:00,51.37
2023-02-01 02:40:00,52.39
2023-02-01 02:45:00,52.39
2023-02-01 02:50:00,47.08
2023-02-01 02:55:00,47.08
2023-02-01 03:00:00,43.28
2023-02-01 03:05:00,45.8
2023-02-01 03:10:00,45.79
2023-02-01 03:15:00,43.34
2023-02-01 03:20:00,40.87
2023-02-01 03:25:00,40.87
2023-02-01 03:30:00,43.38
2023-02-01 03:35:00,45.92
2023-02-01 03:40:00,45.92
2023-02-01 03:45:00,43.43
2023-02-01 03:50:00,45.96
2023-02-01 03:55:00,47.11
2023-02-01 04:00:00,38.47
2023-02-01 04:05:00,38.19
2023-02-01 04:10:00,38.6
2023-02-01 04:15:00,38.44
2023-02-01 04:20:00,37.97
2023-02-01 04:25:00,38.31
2023-02-01 04:30:00,38.61
2023-02-01 04:35:00,46.56
2023-02-01 04:40:00,46.56
2023-02-01 04:45:00,51.44
2023-02-01 04:50:00,52.47
2023-02-01 04:55:00,53.12
2023-02-01 05:00:00,53.12
2023-02-01 05:05:00,38.8
2023-02-01 05:10:00,37.82
2023-02-01 05:15:00,38.25
2023-02-01 05:20:00,41.23
2023-02-01 05:25:00,41.23
2023-02-01 05:30:00,51.45
2023-02-01 05:35:00,47.91
2023-02-01 05:40:00,62.86
2023-02-01 05:45:00,62.81
2023-02-01 05:50:00,82.38
2023-02-01 05:55:00,99.95
2023-02-01 06:00:00,39.06
2023-02-01 06:05:00,39.0
2023-02-01 06:10:00,38.9
2023-02-01 06:15:00,41.44
2023-02-01 06:20:00,41.34
2023-02-01 06:25:00,66.34
2023-02-01 06:30:00,77.51
2023-02-01 06:35:00,77.57
2023-02-01 06:40:00,98.94
2023-02-01 06:45:00,98.94
2023-02-01 06:50:00,171.63
2023-02-01 06:55:00,99.22
2023-02-01 07:00:00,99.22
2023-02-01 07:05:00,94.7
2023-02-01 07:10:00,103.29
2023-02-01 07:15:00,103.29
2023-02-01 07:20:00,129.44
2023-02-01 07:25:00,108.36
2023-02-01 07:30:00,100.42
2023-02-01 07:35:00,99.09
