Time Stamp,LONGIL_RT,N.Y.C._RT,LONGIL_DA,N.Y.C._DA,LONGIL_Load,N.Y.C._Load
2023-07-01 00:05:00,33.29,32.49,30.51,26.95,2480.043,5711.0254
2023-07-01 00:10:00,33.05,32.38,30.51,26.95,2447.913,5697.677
2023-07-01 00:15:00,32.91,32.21,30.51,26.95,2435.5425,5665.917
2023-07-01 00:20:00,31.78,31.08,30.51,26.95,2414.8413,5655.673
2023-07-01 00:25:00,31.66,31.02,30.51,26.95,2412.4136,5617.0527
2023-07-01 00:30:00,33.32,32.5,30.51,26.95,2395.1338,5601.6406
2023-07-01 00:35:00,33.13,32.31,30.51,26.95,2389.3635,5574.459
2023-07-01 00:40:00,32.28,31.48,30.51,26.95,2358.4915,5544.797
2023-07-01 00:45:00,31.74,30.96,30.51,26.95,2331.7866,5536.7207
2023-07-01 00:50:00,30.62,29.89,30.51,26.95,2314.6963,5505.009
2023-07-01 00:55:00,29.5,28.82,30.51,26.95,2312.3047,5481.556
2023-07-01 01:00:00,33.28,32.52,26.85,25.13,2281.6836,5459.5586
2023-07-01 01:05:00,32.26,31.49,26.85,25.13,2267.0557,5446.0723
2023-07-01 01:10:00,31.0,30.26,26.85,25.13,2261.7456,5433.578
2023-07-01 01:15:00,31.7,30.98,26.85,25.13,2279.604,5377.5566
2023-07-01 01:20:00,31.64,30.95,26.85,25.13,2235.5894,5375.414
2023-07-01 01:25:00,31.1,30.38,26.85,25.13,2231.7393,5372.992
2023-07-01 01:30:00,30.59,29.89,26.85,25.13,2218.1387,5331.8867
2023-07-01 01:35:00,30.35,29.71,26.85,25.13,2212.4045,5322.2627
2023-07-01 01:40:00,28.12,27.5,26.85,25.13,2191.1243,5312.858
2023-07-01 01:45:00,27.51,26.93,26.85,25.13,2170.1782,5299.116
2023-07-01 01:50:00,27.48,26.87,26.85,25.13,2168.95,5282.083
2023-07-01 01:55:00,27.42,26.79,26.85,25.13,2140.8262,5229.6777
2023-07-01 02:00:00,28.73,27.99,24.38,23.71,2146.5662,5226.2266
2023-07-01 02:05:00,29.69,28.96,24.38,23.71,2129.4944,5212.9854
2023-07-01 02:10:00,28.19,27.49,24.38,23.71,2126.232,5195.3447
2023-07-01 02:15:00,27.62,26.98,24.38,23.71,2122.7507,5178.3535
2023-07-01 02:20:00,27.46,26.85,24.38,23.71,2120.534,5175.338
2023-07-01 02:25:00,26.97,26.35,24.38,23.71,2120.8862,5139.172
2023-07-01 02:30:00,23.06,22.55,24.38,23.71,2105.6506,5121.6914
