time,ACE
2024-01-24 05:40:00,354.97
2024-01-24 05:40:15,376.95
2024-01-24 05:40:30,488.59
2024-01-24 05:40:45,471.99
2024-01-24 05:41:00,410.84
2024-01-24 05:41:15,297.51
2024-01-24 05:41:30,258.41
2024-01-24 05:41:45,228.16
2024-01-24 05:42:00,246.91
2024-01-24 05:42:15,202.89
2024-01-24 05:42:30,170.82
2024-01-24 05:42:45,130.24
2024-01-24 05:43:00,110.45
2024-01-24 05:43:15,246.94
2024-01-24 05:43:30,335.28
2024-01-24 05:43:45,394.92
2024-01-24 05:44:00,330.99
2024-01-24 05:44:15,265.94
2024-01-24 05:44:30,211.37
2024-01-24 05:44:45,131.17
2024-01-24 05:45:00,303.84
2024-01-24 05:45:15,321.32
2024-01-24 05:45:30,443.64
2024-01-24 05:45:45,266.27
2024-01-24 05:46:00,234.74
2024-01-24 05:46:15,125.6
2024-01-24 05:46:30,54.29
2024-01-24 05:46:45,-21.66
2024-01-24 05:47:00,55.05
2024-01-24 05:47:15,31.64
2024-01-24 05:47:30,6.03
2024-01-24 05:47:45,-66.08
2024-01-24 05:48:00,21.42
2024-01-24 05:48:15,-58.81
2024-01-24 05:48:30,-152.13
2024-01-24 05:48:45,-217.66
2024-01-24 05:49:00,-127.7
2024-01-24 05:49:15,-60.68
2024-01-24 05:49:30,45.34
2024-01-24 05:49:45,183.72
2024-01-24 05:50:00,167.65
2024-01-24 05:50:15,14.82
2024-01-24 05:50:30,21.45
2024-01-24 05:50:45,18.85
2024-01-24 05:51:00,-61.06
2024-01-24 05:51:15,-42.82
2024-01-24 05:51:30,84.74
2024-01-24 05:51:45,176.84
2024-01-24 05:52:00,156.59
2024-01-24 05:52:15,69.99
2024-01-24 05:52:30,79.69
2024-01-24 05:52:45,140.42
2024-01-24 05:53:00,341.93
2024-01-24 05:53:15,340.27
2024-01-24 05:53:30,325.28
2024-01-24 05:53:45,305.36
2024-01-24 05:54:00,343.66
2024-01-24 05:54:15,379.09
2024-01-24 05:54:30,397.95
2024-01-24 05:54:45,474.82
2024-01-24 05:55:00,447.91
2024-01-24 05:55:15,402.85
2024-01-24 05:55:30,342.79
2024-01-24 05:55:45,266.26
2024-01-24 05:56:00,195.98
2024-01-24 05:56:15,210.37
2024-01-24 05:56:30,295.25
2024-01-24 05:56:45,315.79
2024-01-24 05:57:00,272.9
2024-01-24 05:57:15,311.65
2024-01-24 05:57:30,392.86
2024-01-24 05:57:45,352.66
2024-01-24 05:58:00,324.86
2024-01-24 05:58:15,302.29
2024-01-24 05:58:30,276.24
2024-01-24 05:58:45,266.81
2024-01-24 05:59:00,292.67
2024-01-24 05:59:15,236.44
2024-01-24 05:59:30,242.0
2024-01-24 05:59:45,246.66
