datetime_beginning_ept,total_lmp_rt,rt_temperature_set
2022-01-01 00:00:00,18.98,50.0
2022-01-01 01:00:00,18.15,50.0
2022-01-01 02:00:00,18.35,50.0
2022-01-01 03:00:00,18.02,50.0
2022-01-01 04:00:00,18.0,50.0
2022-01-01 05:00:00,17.24,54.5
2022-01-01 06:00:00,17.18,59.0
2022-01-01 07:00:00,16.39,59.0
2022-01-01 08:00:00,17.27,59.0
2022-01-01 09:00:00,17.5,59.0
2022-01-01 10:00:00,23.05,59.0
2022-01-01 11:00:00,24.73,59.0
2022-01-01 12:00:00,24.73,59.0
2022-01-01 13:00:00,24.0,59.0
2022-01-01 14:00:00,23.68,59.0
2022-01-01 15:00:00,23.09,59.0
2022-01-01 16:00:00,24.34,59.0
2022-01-01 17:00:00,25.93,59.0
2022-01-01 18:00:00,23.84,59.0
2022-01-01 19:00:00,20.31,59.0
2022-01-01 20:00:00,20.91,59.0
2022-01-01 21:00:00,29.42,59.0
2022-01-01 22:00:00,22.11,59.0
2022-01-01 23:00:00,45.19,59.0
2022-01-02 00:00:00,44.97,59.0
2022-01-02 01:00:00,20.32,59.0
2022-01-02 02:00:00,20.22,59.0
2022-01-02 03:00:00,19.77,59.0
2022-01-02 04:00:00,21.73,59.0
2022-01-02 05:00:00,18.61,59.0
2022-01-02 06:00:00,20.18,59.0
2022-01-02 07:00:00,20.51,59.0
2022-01-02 08:00:00,23.3,59.0
2022-01-02 09:00:00,21.49,59.0
2022-01-02 10:00:00,25.63,59.0
2022-01-02 11:00:00,35.06,59.0
2022-01-02 12:00:00,54.08,59.0
2022-01-02 13:00:00,34.57,59.0
2022-01-02 14:00:00,28.06,59.0
2022-01-02 15:00:00,28.81,59.0
2022-01-02 16:00:00,33.9,59.0
2022-01-02 17:00:00,50.2,54.5
2022-01-02 18:00:00,34.45,50.0
2022-01-02 19:00:00,37.28,50.0
2022-01-02 20:00:00,31.72,45.5
2022-01-02 21:00:00,29.32,41.0
2022-01-02 22:00:00,29.12,41.0
2022-01-02 23:00:00,27.25,41.0
2022-01-03 00:00:00,25.42,41.0
2022-01-03 01:00:00,24.87,41.0
2022-01-03 02:00:00,23.85,41.0
2022-01-03 03:00:00,23.96,41.0
2022-01-03 04:00:00,25.26,41.0
2022-01-03 05:00:00,26.61,41.0
2022-01-03 06:00:00,26.85,36.5
2022-01-03 07:00:00,31.43,32.0
2022-01-03 08:00:00,38.1,32.0
2022-01-03 09:00:00,46.16,32.0
2022-01-03 10:00:00,48.15,32.0
2022-01-03 11:00:00,59.15,32.0
2022-01-03 12:00:00,66.51,32.0
2022-01-03 13:00:00,41.55,32.0
2022-01-03 14:00:00,39.05,32.0
2022-01-03 15:00:00,43.86,32.0
2022-01-03 16:00:00,45.86,32.0
2022-01-03 17:00:00,86.44,32.0
2022-01-03 18:00:00,67.72,32.0
2022-01-03 19:00:00,62.41,32.0
2022-01-03 20:00:00,73.49,32.0
2022-01-03 21:00:00,71.51,32.0
2022-01-03 22:00:00,50.74,32.0
2022-01-03 23:00:00,45.37,32.0
2022-01-04 00:00:00,48.14,32.0
2022-01-04 01:00:00,57.39,32.0
2022-01-04 02:00:00,57.16,32.0
2022-01-04 03:00:00,59.42,32.0
2022-01-04 04:00:00,69.54,32.0
2022-01-04 05:00:00,67.69,32.0
2022-01-04 06:00:00,69.96,32.0
2022-01-04 07:00:00,67.35,32.0
2022-01-04 08:00:00,73.86,32.0
2022-01-04 09:00:00,46.01,32.0
2022-01-04 10:00:00,66.0,32.0
2022-01-04 11:00:00,61.65,32.0
2022-01-04 12:00:00,61.61,32.0
2022-01-04 13:00:00,56.58,32.0
2022-01-04 14:00:00,56.13,36.5
