date,value
2013-02-08 08:00:00,15.07
2013-02-08 05:00:00,14.75
2013-02-11 08:00:00,14.89
2013-02-11 05:00:00,14.46
2013-02-12 08:00:00,14.45
2013-02-12 05:00:00,14.27
2013-02-13 08:00:00,14.3
2013-02-13 05:00:00,14.66
2013-02-14 08:00:00,14.94
2013-02-14 05:00:00,13.99
2013-02-15 08:00:00,13.93
2013-02-15 05:00:00,14.5
2013-02-19 08:00:00,14.33
2013-02-19 05:00:00,14.26
2013-02-20 08:00:00,14.17
2013-02-20 05:00:00,13.33
2013-02-21 08:00:00,13.62
2013-02-21 05:00:00,13.37
2013-02-22 08:00:00,13.57
2013-02-22 05:00:00,13.57
2013-02-25 08:00:00,13.6
2013-02-25 05:00:00,13.02
2013-02-26 08:00:00,13.14
2013-02-26 05:00:00,13.26
2013-02-27 08:00:00,13.28
2013-02-27 05:00:00,13.41
2013-02-28 08:00:00,13.49
2013-02-28 05:00:00,13.43
2013-03-01 08:00:00,13.37
2013-03-01 05:00:00,13.61
2013-03-04 08:00:00,13.5
2013-03-04 05:00:00,13.9
2013-03-05 08:00:00,14.01
2013-03-05 05:00:00,14.05
2013-03-06 08:00:00,14.52
2013-03-06 05:00:00,14.57
2013-03-07 08:00:00,14.7
2013-03-07 05:00:00,14.82
2013-03-08 08:00:00,14.99
2013-03-08 05:00:00,14.92
2013-03-11 08:00:00,14.85
2013-03-11 05:00:00,15.13
2013-03-12 08:00:00,15.14
2013-03-12 05:00:00,15.5
2013-03-13 08:00:00,15.54
2013-03-13 05:00:00,15.91
2013-03-14 08:00:00,15.98
2013-03-14 05:00:00,16.25
2013-03-15 08:00:00,16.45
2013-03-15 05:00:00,15.98
2013-03-18 08:00:00,15.8
2013-03-18 05:00:00,16.29
2013-03-19 08:00:00,16.48
2013-03-19 05:00:00,16.78
2013-03-20 08:00:00,17.13
2013-03-20 05:00:00,17.23
2013-03-21 08:00:00,17.21
2013-03-21 05:00:00,17.0
2013-03-22 08:00:00,17.1
2013-03-22 05:00:00,16.86
2013-03-25 08:00:00,16.92
2013-03-25 05:00:00,16.6
2013-03-26 08:00:00,16.67
2013-03-26 05:00:00,16.51
2013-03-27 08:00:00,16.48
2013-03-27 05:00:00,16.65
2013-03-28 08:00:00,17.0
2013-03-28 05:00:00,16.97
2013-04-01 08:00:00,17.02
2013-04-01 05:00:00,16.67
2013-04-02 08:00:00,16.48
2013-04-02 05:00:00,15.74
2013-04-03 08:00:00,15.82
2013-04-03 05:00:00,15.53
2013-04-04 08:00:00,15.12
2013-04-04 05:00:00,15.69
2013-04-05 08:00:00,15.17
2013-04-05 05:00:00,15.72
2013-04-08 08:00:00,15.82
2013-04-08 05:00:00,15.84
2013-04-09 08:00:00,16.07
2013-04-09 05:00:00,15.7
2013-04-10 08:00:00,15.74
2013-04-10 05:00:00,15.78
2013-04-11 08:00:00,15.77
2013-04-11 05:00:00,16.19
2013-04-12 08:00:00,16.11
2013-04-12 05:00:00,16.14
2013-04-15 08:00:00,16.2
2013-04-15 05:00:00,15.59
2013-04-16 08:00:00,15.96
2013-04-16 05:00:00,16.37
2013-04-17 08:00:00,16.17
2013-04-17 05:00:00,16.52
2013-04-18 08:00:00,16.54
2013-04-18 05:00:00,16.1
2013-04-19 08:00:00,16.1
2013-04-19 05:00:00,16.02
2013-04-22 08:00:00,15.99
2013-04-22 05:00:00,15.52
2013-04-23 08:00:00,15.33
2013-04-23 05:00:00,16.3
2013-04-24 08:00:00,16.26
2013-04-24 05:00:00,16.45
2013-04-25 08:00:00,16.55
2013-04-25 05:00:00,16.22
2013-04-26 08:00:00,16.38
2013-04-26 05:00:00,16.59
2013-04-29 08:00:00,16.7
2013-04-29 05:00:00,16.81
2013-04-30 08:00:00,16.8
2013-04-30 05:00:00,16.9
2013-05-01 08:00:00,16.91
2013-05-01 05:00:00,16.6
2013-05-02 08:00:00,16.72
2013-05-02 05:00:00,16.94
2013-05-03 08:00:00,17.02
2013-05-03 05:00:00,17.02
2013-05-06 08:00:00,17.05
2013-05-06 05:00:00,17.0
2013-05-07 08:00:00,17.15
2013-05-07 05:00:00,16.98
2013-05-08 08:00:00,17.01
2013-05-08 05:00:00,17.34
2013-05-09 08:00:00,17.53
2013-05-09 05:00:00,17.38
2013-05-10 08:00:00,17.61
2013-05-10 05:00:00,17.76
2013-05-13 08:00:00,17.74
